Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0221425651	293.200078	293.200078	293.200078	293.200078	0	0	0	0.00955269	0	0	3
2	14	0	0.0442851302	293.200092	293.200085	293.200078	293.200092	7.20343331e-006	0	0	0.00823555	0	0	3
3	19	0	0.0664276954	293.200098	293.200089	293.200078	293.200098	1.17528091e-005	0	0	0.0080163	0	0	3
4	24	0	0.0885702605	293.200104	293.200093	293.200078	293.200104	1.54715376e-005	0	0	0.00773632	0	0	3
5	29	0	0.110712826	293.20011	293.200096	293.200078	293.20011	1.88468811e-005	0	0	0.00764881	0	0	3
6	35	0	0.132855391	293.200119	293.2001	293.200078	293.200119	2.2665159e-005	0	0	0.00706456	0	0	3
7	41	0	0.154997956	293.20013	293.200105	293.200078	293.20013	2.69317471e-005	0	0	0.00647382	0	0	3
8	47	0	0.177140521	293.20014	293.200109	293.200078	293.20014	3.13635709e-005	0	0	0.00677724	0	0	3
9	52	0	0.199283086	293.20015	293.200114	293.200078	293.20015	3.58716244e-005	0	0	0.00631127	0	0	3
10	57	0	0.221425651	293.200158	293.200118	293.200078	293.200158	4.03342082e-005	0	0	0.0064079	0	0	3
11	63	0	0.243568216	293.200172	293.200123	293.200078	293.200172	4.52189744e-005	0	0	0.00647888	0	0	3
12	68	0	0.265710781	293.200184	293.200128	293.200078	293.200184	5.03334682e-005	0	0	0.00651138	0	0	3
13	74	0	0.287853347	293.200196	293.200133	293.200078	293.200196	5.55481229e-005	0	0	0.00658294	0	0	3
14	79	0	0.309995912	293.200207	293.200138	293.200078	293.200207	6.08071294e-005	0	0	0.00650976	0	0	3
15	85	0	0.332138477	293.200218	293.200144	293.200078	293.200218	6.61167207e-005	0	0	0.00642867	0	0	3
16	91	0	0.354281042	293.200234	293.200149	293.200078	293.200234	7.17804743e-005	0	0	0.00638051	0	0	3
17	96	0	0.376423607	293.200251	293.200155	293.200078	293.200251	7.77649348e-005	0	0	0.00632981	0	0	3
18	102	0	0.398566172	293.200268	293.200162	293.200078	293.200268	8.40018644e-005	0	0	0.00632348	0	0	3
19	107	0	0.420708737	293.200284	293.200168	293.200078	293.200284	9.04557161e-005	0	0	0.00627401	0	0	3
20	113	0	0.442851302	293.2003	293.200175	293.200078	293.2003	9.70698346e-005	0	0	0.00623791	0	0	3
21	119	0	0.464993868	293.200324	293.200182	293.200078	293.200324	0.000104194809	0	0	0.00627135	0	0	3
22	124	0	0.487136433	293.200348	293.200189	293.200078	293.200348	0.000111745973	0	0	0.00620059	0	0	3
23	129	0	0.509278998	293.20037	293.200197	293.200078	293.20037	0.000119619734	0	0	0.00620405	0	0	3
24	135	0	0.531421563	293.200392	293.200211	293.200092	293.200392	0.000126084303	0	0	0.00620339	0	0	3
25	141	0	0.553564128	293.200412	293.200225	293.200098	293.200412	0.000135461014	0	0	0.00614124	0	0	3
26	147	0	0.575706693	293.200441	293.20024	293.200104	293.200441	0.000146614578	0	0	0.00609081	0	0	3
27	153	0	0.597849258	293.200467	293.200255	293.20011	293.200467	0.000159003446	0	0	0.00613228	0	0	3
28	158	0	0.619991823	293.200492	293.200272	293.200119	293.200492	0.000171801214	0	0	0.00609292	0	0	3
29	164	0	0.642134389	293.200516	293.200289	293.20013	293.200516	0.000184780428	0	0	0.00609296	0	0	3
30	170	0	0.664276954	293.200539	293.200307	293.20014	293.200539	0.000198103792	0	0	0.00615973	0	0	3
31	176	0	0.686419519	293.200568	293.200326	293.20015	293.200568	0.000212207908	0	0	0.00617165	0	0	3
32	182	0	0.708562084	293.200595	293.200345	293.200158	293.200595	0.000227131495	0	0	0.00618323	0	0	3
33	187	0	0.730704649	293.20062	293.200365	293.200172	293.20062	0.000242333805	0	0	0.00605982	0	0	3
34	193	0	0.752847214	293.200643	293.200386	293.200184	293.200643	0.000257709087	0	0	0.00612598	0	0	3
35	199	0	0.774989779	293.200661	293.200406	293.200196	293.200661	0.000273223895	0	0	0.00594403	0	0	3
36	205	0	0.797132344	293.200683	293.200428	293.200207	293.200683	0.00028912832	0	0	0.00597309	0	0	3
37	211	0	0.81927491	293.2007	293.200449	293.200218	293.2007	0.000305240614	0	0	0.00591447	0	0	3
38	217	0	0.841417475	293.200714	293.200471	293.200234	293.200714	0.00032115618	0	0	0.00594811	0	0	3
39	223	0	0.86356004	293.200726	293.200492	293.200251	293.200726	0.000336549626	0	0	0.00584636	0	0	3
40	228	0	0.885702605	293.200736	293.200513	293.200268	293.200736	0.000351386095	0	0	0.00586636	0	0	3
41	234	0	0.90784517	293.200745	293.200534	293.200284	293.200745	0.000365700586	0	0	0.00579645	0	0	3
42	240	0	0.929987735	293.200753	293.200554	293.2003	293.200753	0.000379470591	0	0	0.00581335	0	0	3
43	246	0	0.9521303	293.200758	293.200574	293.200324	293.200758	0.000392247165	0	0	0.00574353	0	0	3
44	252	0	0.974272865	293.200763	293.200593	293.200348	293.200763	0.000403747511	0	0	0.00576484	0	0	3
45	258	0	0.996415431	293.200765	293.200611	293.20037	293.200765	0.00039415916	0	0	0.00568685	0	0	3
46	263	0	1.018558	293.200767	293.200629	293.200392	293.200767	0.000375384181	4.80481844e-005	0	0.00572277	0	0	3
