Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0218577417	25.1846545	25.1846545	25.1846545	25.1846545	0	0	0	0	0	0	3
2	15	0	0.0437154833	5.77122303	15.4779388	5.77122303	25.1846545	9.70671573	0	0	0	0	0	3
3	21	0	0.065573225	2.69766026	11.2178459	2.69766026	25.1846545	13.9668086	0	0	0	0	0	3
4	27	0	0.0874309667	1.96116008	8.90367447	1.96116008	25.1846545	16.28098	0	0	0	0	0	3
5	33	0	0.109288708	1.83379732	7.48969904	1.83379732	25.1846545	17.6949555	0	0	0	0	0	3
6	39	0	0.13114645	1.73163736	6.53002209	1.73163736	25.1846545	18.6546324	0	0	0	0	0	3
7	45	0	0.153004192	1.6397832	5.83141653	1.6397832	25.1846545	19.353238	0	0	0	0	0	3
8	51	0	0.174861933	1.51887043	5.29234827	1.51887043	25.1846545	19.8923062	0	0	0	0	0	3
9	57	0	0.196719675	1.37152542	4.85670129	1.37152542	25.1846545	20.3279532	0	0	0	0	0	3
10	62	0	0.218577417	1.27528905	4.49856006	1.27528905	25.1846545	20.6860944	0	0	0	0	0	3
11	68	0	0.240435158	1.25154436	4.20337682	1.25154436	25.1846545	20.9812777	0	0	0	0	0	3
12	74	0	0.2622929	1.21568382	3.9544024	1.21568382	25.1846545	21.2302521	0	0	0	0	0	3
13	80	0	0.284150642	1.19428199	3.74208545	1.19428199	25.1846545	21.442569	0	0	0	0	0	3
14	86	0	0.306008383	1.21291309	3.56143028	1.19428199	25.1846545	21.6232242	0	0	0	0	0	3
15	92	0	0.327866125	1.21336087	3.40489232	1.19428199	25.1846545	21.7797622	0	0	0	0	0	3
16	97	0	0.349723867	1.21092407	3.2677693	1.19428199	25.1846545	21.9168852	0	0	0	0	0	3
17	103	0	0.371581608	1.20809468	3.14661197	1.19428199	25.1846545	22.0380425	0	0	0	0	0	3
18	109	0	0.39343935	1.19528084	3.03820469	1.19428199	25.1846545	22.1464498	0	0	0	0	0	3
19	115	0	0.415297092	1.1841576	2.94062326	1.1841576	25.1846545	22.2440312	0	0	0	0	0	3
20	121	0	0.437154833	1.16931794	2.85205799	1.16931794	25.1846545	22.3325965	0	0	0	0	0	3
21	127	0	0.459012575	1.14332527	2.77068977	1.14332527	25.1846545	22.4139647	0	0	0	0	0	3
22	133	0	0.480870317	1.10698694	2.69506691	1.10698694	25.1846545	22.4895876	0	0	0	0	0	3
23	139	0	0.502728058	1.07349715	2.62456388	1.07349715	25.1846545	22.5600906	0	0	0	0	0	3
24	145	0	0.5245858	1.03806511	1.57471217	1.03806511	5.77122303	4.73315792	0	0	0	0	0	3
25	151	0	0.546443542	0.996642177	1.3671217	0.996642177	2.69766026	1.70101809	0	0	0	0	0	3
26	157	0	0.568301283	0.949646829	1.29112111	0.949646829	1.96116008	1.01151326	0	0	0	0	0	3
27	162	0	0.590159025	0.894862245	1.24476034	0.894862245	1.83379732	0.938935074	0	0	0	0	0	3
28	169	0	0.612016767	0.835190484	1.20134265	0.835190484	1.73163736	0.896446873	0	0	0	0	0	3
29	174	0	0.633874508	0.780422477	1.15998548	0.780422477	1.6397832	0.859360718	0	0	0	0	0	3
30	180	0	0.65573225	0.733658254	1.12058874	0.733658254	1.51887043	0.78521218	0	0	0	0	0	3
31	186	0	0.677589992	0.700455758	1.0850055	0.700455758	1.37152542	0.671069659	0	0	0	0	0	3
32	192	0	0.699447733	0.675131599	1.0547275	0.675131599	1.27528905	0.600157452	0	0	0	0	0	3
33	212	0	0.721305475	0.663590869	1.02813193	0.663590869	1.25154436	0.587953488	0	0	0	0	0	3
