Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0218577417	102.642774	102.642774	102.642774	102.642774	0	0	0	0	0	0	3
2	15	0	0.0437154833	23.5212416	63.082008	23.5212416	102.642774	39.5607664	0	0	0	0	0	3
3	21	0	0.065573225	10.9946052	45.7195404	10.9946052	102.642774	56.923234	0	0	0	0	0	3
4	27	0	0.0874309667	7.99291934	36.2878851	7.99291934	102.642774	66.3548892	0	0	0	0	0	3
5	33	0	0.109288708	7.47383866	30.5250758	7.47383866	102.642774	72.1176985	0	0	0	0	0	3
6	39	0	0.13114645	7.05747473	26.613809	7.05747473	102.642774	76.0289654	0	0	0	0	0	3
7	45	0	0.153004192	6.68311319	23.7665667	6.68311319	102.642774	78.8762076	0	0	0	0	0	3
8	51	0	0.174861933	6.19032019	21.5695359	6.19032019	102.642774	81.0732384	0	0	0	0	0	3
9	57	0	0.196719675	5.58979969	19.7940097	5.58979969	102.642774	82.8487647	0	0	0	0	0	3
10	62	0	0.218577417	5.19757801	18.3343665	5.19757801	102.642774	84.3084078	0	0	0	0	0	3
11	68	0	0.240435158	5.10080395	17.1313154	5.10080395	102.642774	85.511459	0	0	0	0	0	3
12	74	0	0.2622929	4.95465046	16.1165933	4.95465046	102.642774	86.5261811	0	0	0	0	0	3
13	80	0	0.284150642	4.867425	15.2512726	4.867425	102.642774	87.3915017	0	0	0	0	0	3
14	86	0	0.306008383	4.94335807	14.514993	4.867425	102.642774	88.1277813	0	0	0	0	0	3
15	92	0	0.327866125	4.94518305	13.8770057	4.867425	102.642774	88.7657686	0	0	0	0	0	3
16	97	0	0.349723867	4.93525157	13.3181461	4.867425	102.642774	89.3246283	0	0	0	0	0	3
17	103	0	0.371581608	4.9237201	12.8243563	4.867425	102.642774	89.818418	0	0	0	0	0	3
18	109	0	0.39343935	4.8714959	12.3825307	4.867425	102.642774	90.2602436	0	0	0	0	0	3
19	115	0	0.415297092	4.82616195	11.9848271	4.82616195	102.642774	90.6579472	0	0	0	0	0	3
20	121	0	0.437154833	4.7656813	11.6238698	4.7656813	102.642774	91.0189045	0	0	0	0	0	3
21	127	0	0.459012575	4.65974541	11.2922448	4.65974541	102.642774	91.3505295	0	0	0	0	0	3
22	133	0	0.480870317	4.51164463	10.9840357	4.51164463	102.642774	91.6587386	0	0	0	0	0	3
23	139	0	0.502728058	4.37515338	10.696693	4.37515338	102.642774	91.9460813	0	0	0	0	0	3
24	145	0	0.5245858	4.23074626	6.4179092	4.23074626	23.5212416	19.2904954	0	0	0	0	0	3
25	151	0	0.546443542	4.06192263	5.57185186	4.06192263	10.9946052	6.93268258	0	0	0	0	0	3
26	157	0	0.568301283	3.87038803	5.26210328	3.87038803	7.99291934	4.12253132	0	0	0	0	0	3
27	162	0	0.590159025	3.64710755	5.07315494	3.64710755	7.47383866	3.82673111	0	0	0	0	0	3
28	169	0	0.612016767	3.40390885	4.89620147	3.40390885	7.05747473	3.65356587	0	0	0	0	0	3
29	174	0	0.633874508	3.18069594	4.72764587	3.18069594	6.68311319	3.50241725	0	0	0	0	0	3
30	180	0	0.65573225	2.99010331	4.56708023	2.99010331	6.19032019	3.20021689	0	0	0	0	0	3
31	186	0	0.677589992	2.85478295	4.42205687	2.85478295	5.58979969	2.73501674	0	0	0	0	0	3
32	192	0	0.699447733	2.75157161	4.29865565	2.75157161	5.19757801	2.44600639	0	0	0	0	0	3
33	212	0	0.721305475	2.70453612	4.19026252	2.70453612	5.10080395	2.39626782	0	0	0	0	0	3
34	218	0	0.743163217	2.70144891	4.08594274	2.70144891	4.95465046	2.25320154	0	0	0	0	0	3
35	224	0	0.765020959	2.72375858	3.98894744	2.70144891	4.94518305	2.24373414	0	0	0	0	0	3
36	230	0	0.7868787	2.74336007	3.89659679	2.70144891	4.94518305	2.24373414	0	0	0	0	0	3
37	236	0	0.808736442	2.73171039	3.8004382	2.70144891	4.94518305	2.24373414	0	0	0	0	0	3
38	241	0	0.830594184	2.66890943	3.70146978	2.66890943	4.93525157	2.26634213	0	0	0	0	0	3
39	247	0	0.852451925	2.59840638	3.59986781	2.59840638	4.9237201	2.32531372	0	0	0	0	0	3
40	253	0	0.874309667	2.55192965	3.49674649	2.55192965	4.8714959	2.31956625	0	0	0	0	0	3
41	260	0	0.896167409	2.53687244	3.39524112	2.53687244	4.82616195	2.28928951	0	0	0	0	0	3
42	266	0	0.91802515	2.53266326	3.29552379	2.53266326	4.7656813	2.23301804	0	0	0	0	0	3
