Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0218577417	4.53747905	4.53747905	4.53747905	4.53747905	0	0	0	0	0	0	3
2	15	0	0.0437154833	4.31002307	4.42375106	4.31002307	4.53747905	0.113727992	0	0	0	0	0	3
3	21	0	0.065573225	4.12921636	4.32557283	4.12921636	4.53747905	0.211906226	0	0	0	0	0	3
4	27	0	0.0874309667	4.01884357	4.24889051	4.01884357	4.53747905	0.28858854	0	0	0	0	0	3
5	33	0	0.109288708	3.92512296	4.184137	3.92512296	4.53747905	0.353342049	0	0	0	0	0	3
6	39	0	0.13114645	3.85147093	4.12869266	3.85147093	4.53747905	0.408786394	0	0	0	0	0	3
7	45	0	0.153004192	3.77989057	4.07886379	3.77989057	4.53747905	0.458615263	0	0	0	0	0	3
8	51	0	0.174861933	3.82026723	4.04653922	3.77989057	4.53747905	0.490939833	0	0	0	0	0	3
9	57	0	0.196719675	3.81362572	4.02065994	3.77989057	4.53747905	0.516819111	0	0	0	0	0	3
10	62	0	0.218577417	3.78780463	3.99737441	3.77989057	4.53747905	0.540104642	0	0	0	0	0	3
11	68	0	0.240435158	3.70678543	3.97095723	3.70678543	4.53747905	0.566521822	0	0	0	0	0	3
12	74	0	0.2622929	3.68992951	3.94753825	3.68992951	4.53747905	0.589940798	0	0	0	0	0	3
13	80	0	0.284150642	3.69970901	3.92847447	3.68992951	4.53747905	0.609004586	0	0	0	0	0	3
14	86	0	0.306008383	3.7086027	3.91276934	3.68992951	4.53747905	0.624709712	0	0	0	0	0	3
15	92	0	0.327866125	3.70898476	3.8991837	3.68992951	4.53747905	0.638295351	0	0	0	0	0	3
16	97	0	0.349723867	3.71495219	3.88766923	3.68992951	4.53747905	0.64980982	0	0	0	0	0	3
17	103	0	0.371581608	3.75388788	3.87979974	3.68992951	4.53747905	0.657679311	0	0	0	0	0	3
18	109	0	0.39343935	3.75245389	3.87272497	3.68992951	4.53747905	0.664754081	0	0	0	0	0	3
19	115	0	0.415297092	3.76838817	3.86723356	3.68992951	4.53747905	0.670245492	0	0	0	0	0	3
20	121	0	0.437154833	3.76876964	3.86231036	3.68992951	4.53747905	0.675168688	0	0	0	0	0	3
21	127	0	0.459012575	3.76980258	3.85790523	3.68992951	4.53747905	0.679573821	0	0	0	0	0	3
22	133	0	0.480870317	3.74854595	3.85293435	3.68992951	4.53747905	0.684544697	0	0	0	0	0	3
23	139	0	0.502728058	3.74550605	3.84826356	3.68992951	4.53747905	0.689215493	0	0	0	0	0	3
24	145	0	0.5245858	3.73208688	3.81324651	3.68992951	4.31002307	0.610504552	0	0	0	0	0	3
25	151	0	0.546443542	3.72638015	3.78787073	3.68992951	4.12921636	0.439286844	0	0	0	0	0	3
26	157	0	0.568301283	3.70227954	3.76930826	3.68992951	4.01884357	0.328914058	0	0	0	0	0	3
27	162	0	0.590159025	3.69887629	3.75539664	3.68992951	3.92512296	0.23519345	0	0	0	0	0	3
