Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0218577417	2.72993676	2.72993676	2.72993676	2.72993676	0	0	0	0	0	0	3
2	15	0	0.0437154833	2.72523566	2.72758621	2.72523566	2.72993676	0.00235054984	0	0	0	0	0	3
3	21	0	0.065573225	2.72345503	2.72620915	2.72345503	2.72993676	0.00372761202	0	0	0	0	0	3
4	27	0	0.0874309667	2.72219346	2.72520523	2.72219346	2.72993676	0.00473153503	0	0	0	0	0	3
5	33	0	0.109288708	2.72073883	2.72431195	2.72073883	2.72993676	0.00562481405	0	0	0	0	0	3
6	39	0	0.13114645	2.71824379	2.72330059	2.71824379	2.72993676	0.00663617381	0	0	0	0	0	3
7	45	0	0.153004192	2.71516177	2.7221379	2.71516177	2.72993676	0.00779886209	0	0	0	0	0	3
8	51	0	0.174861933	2.71200449	2.72087123	2.71200449	2.72993676	0.00906553873	0	0	0	0	0	3
9	57	0	0.196719675	2.70892593	2.71954397	2.70892593	2.72993676	0.0103927937	0	0	0	0	0	3
10	62	0	0.218577417	2.70571895	2.71816147	2.70571895	2.72993676	0.0117752961	0	0	0	0	0	3
11	68	0	0.240435158	2.70000876	2.71651122	2.70000876	2.72993676	0.0134255424	0	0	0	0	0	3
12	74	0	0.2622929	2.69422119	2.71465372	2.69422119	2.72993676	0.0152830453	0	0	0	0	0	3
13	80	0	0.284150642	2.68857069	2.71264733	2.68857069	2.72993676	0.0172894322	0	0	0	0	0	3
14	86	0	0.306008383	2.68286926	2.71052033	2.68286926	2.72993676	0.0194164373	0	0	0	0	0	3
15	92	0	0.327866125	2.67741604	2.70831337	2.67741604	2.72993676	0.02162339	0	0	0	0	0	3
16	97	0	0.349723867	2.66987455	2.70591095	2.66987455	2.72993676	0.0240258164	0	0	0	0	0	3
17	103	0	0.371581608	2.66264904	2.70336613	2.66264904	2.72993676	0.0265706342	0	0	0	0	0	3
18	109	0	0.39343935	2.65597912	2.70073352	2.65597912	2.72993676	0.0292032461	0	0	0	0	0	3
19	115	0	0.415297092	2.64956874	2.69804063	2.64956874	2.72993676	0.0318961292	0	0	0	0	0	3
20	121	0	0.437154833	2.6432454	2.69530087	2.6432454	2.72993676	0.0346358912	0	0	0	0	0	3
21	127	0	0.459012575	2.63439296	2.6924005	2.63439296	2.72993676	0.0375362679	0	0	0	0	0	3
22	133	0	0.480870317	2.62523299	2.68934743	2.62523299	2.72993676	0.0405893364	0	0	0	0	0	3
23	139	0	0.502728058	2.61583594	2.68615128	2.61583594	2.72993676	0.0437854879	0	0	0	0	0	3
24	145	0	0.5245858	2.60556822	2.68074395	2.60556822	2.72523566	0.0468422658	0	0	0	0	0	3
25	151	0	0.546443542	2.59433064	2.67505243	2.59433064	2.72345503	0.0511567267	0	0	0	0	0	3
26	157	0	0.568301283	2.57660924	2.66866783	2.57660924	2.72219346	0.0565374029	0	0	0	0	0	3
27	162	0	0.590159025	2.55664964	2.66147027	2.55664964	2.72073883	0.0628416813	0	0	0	0	0	3
28	169	0	0.612016767	2.53545695	2.65341453	2.53545695	2.71824379	0.0698860555	0	0	0	0	0	3
29	174	0	0.633874508	2.51400236	2.64453447	2.51400236	2.71516177	0.0776034293	0	0	0	0	0	3
30	180	0	0.65573225	2.4924472	2.63485123	2.4924472	2.71200449	0.0860199948	0	0	0	0	0	3
31	186	0	0.677589992	2.46526212	2.6241233	2.46526212	2.70892593	0.0954206689	0	0	0	0	0	3
32	192	0	0.699447733	2.44134066	2.61248916	2.44134066	2.70571895	0.105672308	0	0	0	0	0	3
33	212	0	0.721305475	2.42045996	2.60008659	2.42045996	2.70000876	0.116424627	0	0	0	0	0	3
34	218	0	0.743163217	2.40437676	2.58723303	2.40437676	2.69422119	0.127420689	0	0	0	0	0	3
35	224	0	0.765020959	2.39186804	2.57408724	2.39186804	2.68857069	0.138560091	0	0	0	0	0	3
36	230	0	0.7868787	2.38139723	2.56073187	2.38139723	2.68286926	0.149788453	0	0	0	0	0	3
37	236	0	0.808736442	2.37241699	2.54723395	2.37241699	2.67741604	0.161079426	0	0	0	0	0	3
38	241	0	0.830594184	2.36213791	2.5335262	2.36213791	2.66987455	0.172384744	0	0	0	0	0	3
39	247	0	0.852451925	2.35377754	2.51978286	2.35377754	2.66264904	0.183583274	0	0	0	0	0	3
40	253	0	0.874309667	2.35069006	2.50621942	2.35069006	2.65597912	0.194514097	0	0	0	0	0	3
41	260	0	0.896167409	2.35508089	2.49313689	2.35069006	2.64956874	0.204903745	0	0	0	0	0	3
42	266	0	0.91802515	2.36513942	2.4807704	2.35069006	2.6432454	0.214530475	0	0	0	0	0	3
43	273	0	0.939882892	2.3745882	2.46908965	2.35069006	2.63439296	0.223310846	0	0	0	0	0	3
44	279	0	0.961740634	2.38119948	2.45808124	2.35069006	2.62523299	0.23126619	0	0	0	0	0	3
45	285	0	0.983598375	2.38444518	2.4476122	2.35069006	2.61583594	0.238539073	0	0	0	0	0	3
46	292	0	1.00545612	2.38465427	2.43756083	2.35069006	2.60556822	0.243183122	0.024736683	10.1	0	0	0	3
47	299	0	1.02731386	2.38283568	2.4278768	2.35069006	2.59433064	0.243640571	0.024736683	10.1	0	0	0	3
48	305	0	1.0491716	2.37993893	2.41855542	2.35069006	2.57660924	0.225919181	0.024736683	10.9	0	0	0	3
49	311	0	1.07102934	2.37719154	2.40988509	2.35069006	2.55664964	0.205959575	0.024736683	12	0	0	0	3
50	317	0	1.09288708	2.37524306	2.40199785	2.35069006	2.53545695	0.18476689	0.024736683	13.3	0	0	0	3
51	323	0	1.11474483	2.37442112	2.39499629	2.35069006	2.51400236	0.163312299	0.024736683	15.1	0	0	0	3
52	328	0	1.13660257	2.37450068	2.388931	2.35069006	2.4924472	0.141757138	0.024736683	17.4	0	0	0	3
53	334	0	1.15846031	2.37495413	2.3838226	2.35069006	2.46526212	0.114572057	0.024736683	21.5	0	0	0	3
54	341	0	1.18031805	2.37554986	2.37992207	2.35069006	2.44134066	0.0906506013	0.024736683	27.2	0	0	0	3
55	347	0	1.20217579	2.37556717	2.37706235	2.35069006	2.42045996	0.0697699012	0.024736683	35.4	0	0	0	3
56	353	0	1.22403353	2.37542358	2.37510425	2.35069006	2.40437676	0.0536866981	0.024736683	46	0	0	0	3
57	359	0	1.24589128	2.37478861	2.37381781	2.35069006	2.39186804	0.041177981	0.024736683	60	0	0	0	3
58	364	0	1.26774902	2.37420224	2.37304973	2.35069006	2.38465427	0.0339642112	0.024736683	72.8	0	0	0	3
59	371	0	1.28960676	2.37365757	2.37271322	2.35069006	2.38465427	0.0339642112	0.024736683	72.8	0	0	0	3
60	377	0	1.3114645	2.37346002	2.37275857	2.35069006	2.38465427	0.0339642112	0.024736683	72.8	0	0	0	3
61	382	0	1.33332224	2.37321327	2.37324011	2.35069006	2.38465427	0.0339642112	0.024736683	72.8	0	0	0	3
62	388	0	1.35517998	2.37337007	2.37409196	2.35069006	2.38465427	0.0339642112	0.024736683	72.8	0	0	0	3
63	395	0	1.37703773	2.37350165	2.37508377	2.35508089	2.38465427	0.0295733808	0.024736683	83.6	0	0	0	3
64	401	0	1.39889547	2.37400309	2.37590647	2.36513942	2.38465427	0.0195148561	0.024736683	100	0	0	0	3
