Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0218577417	0	0	0	0	0	0	0	0	0	0	3
2	15	0	0.0437154833	0	0	0	0	0	0	0	0	0	0	3
3	21	0	0.065573225	0	0	0	0	0	0	0	0	0	0	3
4	27	0	0.0874309667	0	0	0	0	0	0	0	0	0	0	3
5	33	0	0.109288708	0	0	0	0	0	0	0	0	0	0	3
6	39	0	0.13114645	0	0	0	0	0	0	0	0	0	0	3
7	45	0	0.153004192	0	0	0	0	0	0	0	0	0	0	3
8	51	0	0.174861933	0	0	0	0	0	0	0	0	0	0	3
9	57	0	0.196719675	0	0	0	0	0	0	0	0	0	0	3
10	62	0	0.218577417	0	0	0	0	0	0	0	0	0	0	3
11	68	0	0.240435158	0	0	0	0	0	0	0	0	0	0	3
12	74	0	0.2622929	0	0	0	0	0	0	0	0	0	0	3
13	80	0	0.284150642	0	0	0	0	0	0	0	0	0	0	3
14	86	0	0.306008383	0	0	0	0	0	0	0	0	0	0	3
15	92	0	0.327866125	0	0	0	0	0	0	0	0	0	0	3
16	97	0	0.349723867	0	0	0	0	0	0	0	0	0	0	3
17	103	0	0.371581608	0	0	0	0	0	0	0	0	0	0	3
18	109	0	0.39343935	0	0	0	0	0	0	0	0	0	0	3
19	115	0	0.415297092	0	0	0	0	0	0	0	0	0	0	3
20	121	0	0.437154833	0	0	0	0	0	0	0	0	0	0	3
21	127	0	0.459012575	0	0	0	0	0	0	0	0	0	0	3
22	133	0	0.480870317	0	0	0	0	0	0	0	0	0	0	3
23	139	0	0.502728058	0	0	0	0	0	0	0	0	0	0	3
24	145	0	0.5245858	0	0	0	0	0	0	0	0	0	0	3
25	151	0	0.546443542	0	0	0	0	0	0	0	0	0	0	3
26	157	0	0.568301283	0	0	0	0	0	0	0	0	0	0	3
27	162	0	0.590159025	0	0	0	0	0	0	0	0	0	0	3
28	169	0	0.612016767	0	0	0	0	0	0	0	0	0	0	3
29	174	0	0.633874508	0	0	0	0	0	0	0	0	0	0	3
30	180	0	0.65573225	0	0	0	0	0	0	0	0	0	0	3
31	186	0	0.677589992	0	0	0	0	0	0	0	0	0	0	3
32	192	0	0.699447733	0	0	0	0	0	0	0	0	0	0	3
33	212	0	0.721305475	0	0	0	0	0	0	0	0	0	0	3
34	218	0	0.743163217	0	0	0	0	0	0	0	0	0	0	3
35	224	0	0.765020959	0	0	0	0	0	0	0	0	0	0	3
36	230	0	0.7868787	0	0	0	0	0	0	0	0	0	0	3
37	236	0	0.808736442	0	0	0	0	0	0	0	0	0	0	3
38	241	0	0.830594184	0	0	0	0	0	0	0	0	0	0	3
39	247	0	0.852451925	0	0	0	0	0	0	0	0	0	0	3
40	253	0	0.874309667	0	0	0	0	0	0	0	0	0	0	3
41	260	0	0.896167409	0	0	0	0	0	0	0	0	0	0	3
42	266	0	0.91802515	0	0	0	0	0	0	0	0	0	0	3
43	273	0	0.939882892	0	0	0	0	0	0	0	0	0	0	3
44	279	0	0.961740634	0	0	0	0	0	0	0	0	0	0	3
45	285	0	0.983598375	0	0	0	0	0	0	0	0	0	0	3
46	292	0	1.00545612	0	0	0	0	0	0.001	0	0	0	0	3
47	299	0	1.02731386	0	0	0	0	0	0.001	0	0	0	0	3
48	305	0	1.0491716	0	0	0	0	0	0.001	0	0	0	0	3
49	311	0	1.07102934	0	0	0	0	0	0.001	0	0	0	0	3
50	317	0	1.09288708	0	0	0	0	0	0.001	0	0	0	0	3
51	323	0	1.11474483	0	0	0	0	0	0.001	0	0	0	0	3
52	328	0	1.13660257	0	0	0	0	0	0.001	0	0	0	0	3
53	334	0	1.15846031	0	0	0	0	0	0.001	0	0	0	0	3
54	341	0	1.18031805	0	0	0	0	0	0.001	0	0	0	0	3
55	347	0	1.20217579	0	0	0	0	0	0.001	0	0	0	0	3
56	353	0	1.22403353	0	0	0	0	0	0.001	0	0	0	0	3
57	359	0	1.24589128	0	0	0	0	0	0.001	0	0	0	0	3
58	364	0	1.26774902	0	0	0	0	0	0.001	0	0	0	0	3
59	371	0	1.28960676	0	0	0	0	0	0.001	0	0	0	0	3
60	377	0	1.3114645	0	0	0	0	0	0.001	0	0	0	0	3
61	382	0	1.33332224	0	0	0	0	0	0.001	0	0	0	0	3
62	388	0	1.35517998	0	0	0	0	0	0.001	0	0	0	0	3
63	395	0	1.37703773	0	0	0	0	0	0.001	0	0	0	0	3
64	401	0	1.39889547	0	0	0	0	0	0.001	0	0	0	0	3
