Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	17.1821808	17.1821808	17.1821808	17.1821808	0	0	0	0	0	0	3
2	1	0	0.05	5.31360179	11.2478913	5.31360179	17.1821808	5.93428949	0	0	0	0	0	3
3	2	0	0.075	2.96770179	8.48782812	2.96770179	17.1821808	8.69435265	0	0	0	0	0	3
4	2	0	0.1	2.05589516	6.87984488	2.05589516	17.1821808	10.3023359	0	0	0	0	0	3
5	2	0	0.125	1.89455372	5.88278665	1.89455372	17.1821808	11.2993941	0	0	0	0	0	3
6	3	0	0.15	1.70972337	5.1872761	1.70972337	17.1821808	11.9949047	0	0	0	0	0	3
7	3	0	0.175	1.62287296	4.67807565	1.62287296	17.1821808	12.5041051	0	0	0	0	0	3
8	4	0	0.2	1.4949288	4.2801823	1.4949288	17.1821808	12.9019985	0	0	0	0	0	3
9	4	0	0.225	1.38389793	3.95837292	1.38389793	17.1821808	13.2238078	0	0	0	0	0	3
10	4	0	0.25	1.32573368	3.695109	1.32573368	17.1821808	13.4870718	0	0	0	0	0	3
11	5	0	0.275	1.28498543	3.47600686	1.28498543	17.1821808	13.7061739	0	0	0	0	0	3
12	5	0	0.3	1.2513605	3.29061966	1.2513605	17.1821808	13.8915611	0	0	0	0	0	3
13	5	0	0.325	1.21313359	3.13081304	1.21313359	17.1821808	14.0513677	0	0	0	0	0	3
14	6	0	0.35	1.19641027	2.99264141	1.19641027	17.1821808	14.1895394	0	0	0	0	0	3
15	6	0	0.375	1.16551224	2.8708328	1.16551224	17.1821808	14.311348	0	0	0	0	0	3
16	7	0	0.4	1.14160174	2.76275586	1.14160174	17.1821808	14.4194249	0	0	0	0	0	3
17	7	0	0.425	1.10737747	2.66538066	1.10737747	17.1821808	14.5168001	0	0	0	0	0	3
18	7	0	0.45	1.08567496	2.57761923	1.08567496	17.1821808	14.6045615	0	0	0	0	0	3
19	8	0	0.475	1.06074516	2.49778376	1.06074516	17.1821808	14.684397	0	0	0	0	0	3
20	8	0	0.5	1.04359817	2.42507448	1.04359817	17.1821808	14.7571063	0	0	0	0	0	3
21	9	0	0.525	1.03258775	1.61759483	1.03258775	5.31360179	4.28101404	0	0	0	0	0	3
22	9	0	0.55	1.02487492	1.40315848	1.02487492	2.96770179	1.94282688	0	0	0	0	0	3
23	10	0	0.575	1.019679	1.30575734	1.019679	2.05589516	1.03621616	0	0	0	0	0	3
24	10	0	0.6	1.01864278	1.25389472	1.01864278	1.89455372	0.875910945	0	0	0	0	0	3
25	11	0	0.625	1.02126508	1.21023029	1.01864278	1.70972337	0.691080597	0	0	0	0	0	3
26	11	0	0.65	1.03139896	1.17631407	1.01864278	1.62287296	0.604230189	0	0	0	0	0	3
27	11	0	0.675	1.03628995	1.14698492	1.01864278	1.4949288	0.476286025	0	0	0	0	0	3
28	12	0	0.7	1.04109674	1.12429332	1.01864278	1.38389793	0.36525515	0	0	0	0	0	3
29	12	0	0.725	1.04240332	1.10721859	1.01864278	1.32573368	0.307090907	0	0	0	0	0	3
30	13	0	0.75	1.04231944	1.09304787	1.01864278	1.28498543	0.266342656	0	0	0	0	0	3
31	13	0	0.775	1.04700649	1.08114893	1.01864278	1.2513605	0.232717727	0	0	0	0	0	3
32	14	0	0.8	1.04744642	1.07095322	1.01864278	1.21313359	0.194490812	0	0	0	0	0	3
33	14	0	0.825	1.04812408	1.06270275	1.01864278	1.19641027	0.177767494	0	0	0	0	0	3
34	14	0	0.85	1.04673212	1.05521884	1.01864278	1.16551224	0.146869465	0	0	0	0	0	3
35	15	0	0.875	1.04573964	1.04923021	1.01864278	1.14160174	0.122958966	0	0	0	0	0	3
36	15	0	0.9	1.04548945	1.0444246	1.01864278	1.10737747	0.0887346992	0	0	0	0	0	3
37	16	0	0.925	1.04429277	1.04127036	1.01864278	1.08567496	0.0670321868	0	0	0	0	0	3
38	16	0	0.95	1.04001476	1.03898735	1.01864278	1.06074516	0.0421023877	0	0	0	0	0	3
39	17	0	0.975	1.0362362	1.0377619	1.01864278	1.04812408	0.0294813051	0	0	0	0	0	3
40	17	0	1	1.02971823	1.03706791	1.01864278	1.04812408	0.0294813051	0.292358852	100	0	0	0	3
41	17	0	1.025	1.02720495	1.03679877	1.01864278	1.04812408	0.0294813051	0.292358852	100	0	0	0	3
42	18	0	1.05	1.02444921	1.03677748	1.01864278	1.04812408	0.0294813051	0.292358852	100	0	0	0	3
43	18	0	1.075	1.02126305	1.03685668	1.01864278	1.04812408	0.0294813051	0.292358852	100	0	0	0	3
44	19	0	1.1	1.01773086	1.03594593	1.01773086	1.04812408	0.0303932221	0.292358852	100	0	0	0	3
45	19	0	1.125	1.01562685	1.03580231	1.01562685	1.04812408	0.0324972301	0.292358852	100	0	0	0	3
46	20	0	1.15	1.01327502	1.03542183	1.01327502	1.04812408	0.0348490637	0.292358852	100	0	0	0	3
47	20	0	1.175	1.01203883	1.03449992	1.01203883	1.04812408	0.0360852483	0.292358852	100	0	0	0	3
48	20	0	1.2	1.01058756	1.033276	1.01058756	1.04812408	0.0375365171	0.292358852	100	0	0	0	3
