Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	2.7657484	2.7657484	2.7657484	2.7657484	0	0	0	4.12709	0	0	3
2	1	0	0.05	2.7629961	2.76437225	2.7629961	2.7657484	0.00137614717	0	0	4.04161	0	0	3
3	2	0	0.075	2.76198584	2.76357678	2.76198584	2.7657484	0.00217161727	0	0	3.93077	0	0	3
4	2	0	0.1	2.7608456	2.76289398	2.7608456	2.7657484	0.00285441175	0	0	4.22083	0	0	3
5	2	0	0.125	2.75980359	2.7622759	2.75980359	2.7657484	0.00347249163	0	0	4.5264	0	0	3
6	3	0	0.15	2.75762937	2.76150148	2.75762937	2.7657484	0.00424691396	0	0	4.86149	0	0	3
7	3	0	0.175	2.75495415	2.76056615	2.75495415	2.7657484	0.00518224678	0	0	4.99592	0	0	3
8	4	0	0.2	2.75201951	2.75949782	2.75201951	2.7657484	0.00625057617	0	0	4.976	0	0	3
9	4	0	0.225	2.74912331	2.7583451	2.74912331	2.7657484	0.00740329964	0	0	4.87383	0	0	3
10	4	0	0.25	2.74638963	2.75714955	2.74638963	2.7657484	0.00859884677	0	0	4.74337	0	0	3
11	5	0	0.275	2.74212894	2.75578404	2.74212894	2.7657484	0.00996435693	0	0	4.58986	0	0	3
12	5	0	0.3	2.7386461	2.75435588	2.7386461	2.7657484	0.0113925184	0	0	4.48121	0	0	3
13	5	0	0.325	2.73589477	2.75293579	2.73589477	2.7657484	0.0128126034	0	0	4.41407	0	0	3
14	6	0	0.35	2.73346153	2.75154477	2.73346153	2.7657484	0.0142036226	0	0	4.3766	0	0	3
15	6	0	0.375	2.73143759	2.7502043	2.73143759	2.7657484	0.0155441015	0	0	4.3621	0	0	3
16	7	0	0.4	2.72883624	2.74886879	2.72883624	2.7657484	0.0168796048	0	0	4.35918	0	0	3
17	7	0	0.425	2.72644771	2.7475499	2.72644771	2.7657484	0.0181984921	0	0	4.36655	0	0	3
