Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.025	0	0	0	0	0	0	1000	0	0	0	3
2	15	0	0.05	0	0	0	0	0	0	1000	0	0	0	3
3	18	0	0.075	0	0	0	0	0	0	1000	0	0	0	3
4	22	0	0.1	0	0	0	0	0	0	1000	0	0	0	3
5	26	0	0.125	0	0	0	0	0	0	1000	0	0	0	3
6	29	0	0.15	0	0	0	0	0	0	1000	0	0	0	3
7	33	0	0.175	0	0	0	0	0	0	1000	0	0	0	3
8	37	0	0.2	0	0	0	0	0	0	1000	0	0	0	3
9	41	0	0.225	0	0	0	0	0	0	1000	0	0	0	3
10	45	0	0.25	0	0	0	0	0	0	1000	0	0	0	3
11	50	0	0.275	0	0	0	0	0	0	1000	0	0	0	3
12	54	0	0.3	0	0	0	0	0	0	1000	0	0	0	3
13	58	0	0.325	0	0	0	0	0	0	1000	0	0	0	3
14	61	0	0.35	0	0	0	0	0	0	1000	0	0	0	3
15	67	0	0.375	0	0	0	0	0	0	1000	0	0	0	3
16	71	0	0.4	0	0	0	0	0	0	1000	0	0	0	3
17	76	0	0.425	0	0	0	0	0	0	1000	0	0	0	3
18	80	0	0.45	0	0	0	0	0	0	1000	0	0	0	3
19	84	0	0.475	0	0	0	0	0	0	1000	0	0	0	3
20	88	0	0.5	0	0	0	0	0	0	1000	0	0	0	3
21	92	0	0.525	0	0	0	0	0	0	1000	0	0	0	3
22	97	0	0.55	0	0	0	0	0	0	1000	0	0	0	3
23	100	0	0.575	0	0	0	0	0	0	1000	0	0	0	3
24	104	0	0.6	0	0	0	0	0	0	1000	0	0	0	3
25	109	0	0.625	0	0	0	0	0	0	1000	0	0	0	3
26	113	0	0.65	0	0	0	0	0	0	1000	0	0	0	3
27	117	0	0.675	0	0	0	0	0	0	1000	0	0	0	3
28	122	0	0.7	0	0	0	0	0	0	1000	0	0	0	3
29	125	0	0.725	0	0	0	0	0	0	1000	0	0	0	3
30	129	0	0.75	0	0	0	0	0	0	1000	0	0	0	3
31	133	0	0.775	0	0	0	0	0	0	1000	0	0	0	3
32	137	0	0.8	0	0	0	0	0	0	1000	0	0	0	3
33	141	0	0.825	0	0	0	0	0	0	1000	0	0	0	3
34	145	0	0.85	0	0	0	0	0	0	1000	0	0	0	3
35	149	0	0.875	0	0	0	0	0	0	1000	0	0	0	3
36	153	0	0.9	0	0	0	0	0	0	1000	0	0	0	3
37	156	0	0.925	0	0	0	0	0	0	1000	0	0	0	3
38	160	0	0.95	0	0	0	0	0	0	1000	0	0	0	3
39	164	0	0.975	0	0	0	0	0	0	1000	0	0	0	3
40	168	0	1	0	0	0	0	0	0.001	1000	0	0	0	3
41	172	0	1.025	0	0	0	0	0	0.001	1000	0	0	0	3
42	176	0	1.05	0	0	0	0	0	0.001	1000	0	0	0	3
43	180	0	1.075	0	0	0	0	0	0.001	1000	0	0	0	3
44	184	0	1.1	0	0	0	0	0	0.001	1000	0	0	0	3
45	187	0	1.125	0	0	0	0	0	0.001	1000	0	0	0	3
46	192	0	1.15	0	0	0	0	0	0.001	1000	0	0	0	3
47	196	0	1.175	0	0	0	0	0	0.001	1000	0	0	0	3
48	200	0	1.2	0	0	0	0	0	0.001	1000	0	0	0	3
49	204	0	1.225	0	0	0	0	0	0.001	1000	0	0	0	3
50	207	0	1.25	0	0	0	0	0	0.001	1000	0	0	0	3
51	211	0	1.275	0	0	0	0	0	0.001	1000	0	0	0	3
52	215	0	1.3	0	0	0	0	0	0.001	1000	0	0	0	3
53	219	0	1.325	0	0	0	0	0	0.001	1000	0	0	0	3
54	223	0	1.35	0	0	0	0	0	0.001	1000	0	0	0	3
55	227	0	1.375	0	0	0	0	0	0.001	1000	0	0	0	3
56	234	0	1.4	0	0	0	0	0	0.001	1000	0	0	0	3
57	237	0	1.425	0	0	0	0	0	0.001	1000	0	0	0	3
58	240	0	1.45	0	0	0	0	0	0.001	1000	0	0	0	3
59	243	0	1.475	0	0	0	0	0	0.001	1000	0	0	0	3
60	245	0	1.5	0	0	0	0	0	0.001	1000	0	0	0	3
61	246	0	1.525	0	0	0	0	0	0.001	1000	0	0	0	3
62	247	0	1.55	0	0	0	0	0	0.001	1000	0	0	0	3
63	249	0	1.575	0	0	0	0	0	0.001	1000	0	0	0	3
64	250	0	1.6	0	0	0	0	0	0.001	1000	0	0	0	3
65	253	0	1.625	0	0	0	0	0	0.001	1000	0	0	0	3
66	255	0	1.65	0	0	0	0	0	0.001	1000	0	0	0	3
67	257	0	1.675	0	0	0	0	0	0.001	1000	0	0	0	3
68	260	0	1.7	0	0	0	0	0	0.001	1000	0	0	0	3
69	264	0	1.725	0	0	0	0	0	0.001	1000	0	0	0	3
70	265	0	1.75	0	0	0	0	0	0.001	1000	0	0	0	3
71	267	0	1.775	0	0	0	0	0	0.001	1000	0	0	0	3
72	268	0	1.8	0	0	0	0	0	0.001	1000	0	0	0	3
73	270	0	1.825	0	0	0	0	0	0.001	1000	0	0	0	3
74	274	0	1.85	0	0	0	0	0	0.001	1000	0	0	0	3
75	277	0	1.875	0	0	0	0	0	0.001	1000	0	0	0	3
76	280	0	1.9	0	0	0	0	0	0.001	1000	0	0	0	3
77	284	0	1.925	0	0	0	0	0	0.001	1000	0	0	0	3
78	285	0	1.95	0	0	0	0	0	0.001	1000	0	0	0	3
79	287	0	1.975	0	0	0	0	0	0.001	1000	0	0	0	3
80	289	0	2	0	0	0	0	0	0.001	1000	0	0	0	3
81	292	0	2.025	0	0	0	0	0	0.001	1000	0	0	0	3
82	294	0	2.05	0	0	0	0	0	0.001	1000	0	0	0	3
83	297	0	2.075	0	0	0	0	0	0.001	1000	0	0	0	3
84	298	0	2.1	0	0	0	0	0	0.001	1000	0	0	0	3
85	298	0	2.125	0	0	0	0	0	0.001	1000	0	0	0	3
86	299	0	2.15	0	0	0	0	0	0.001	1000	0	0	0	3
87	300	0	2.175	0	0	0	0	0	0.001	1000	0	0	0	3
88	302	0	2.2	0	0	0	0	0	0.001	1000	0	0	0	3
89	305	0	2.225	0	0	0	0	0	0.001	1000	0	0	0	3
90	306	0	2.25	0	0	0	0	0	0.001	1000	0	0	0	3
91	308	0	2.275	0	0	0	0	0	0.001	1000	0	0	0	3
92	312	0	2.3	0	0	0	0	0	0.001	1000	0	0	0	3
93	314	0	2.325	0	0	0	0	0	0.001	1000	0	0	0	3
94	317	0	2.35	0	0	0	0	0	0.001	1000	0	0	0	3
95	319	0	2.375	0	0	0	0	0	0.001	1000	0	0	0	3
96	322	0	2.4	0	0	0	0	0	0.001	1000	0	0	0	3
97	322	0	2.425	0	0	0	0	0	0.001	1000	0	0	0	3
98	323	0	2.45	0	0	0	0	0	0.001	1000	0	0	0	3
99	326	0	2.475	0	0	0	0	0	0.001	1000	0	0	0	3
100	328	0	2.5	0	0	0	0	0	0.001	1000	0	0	0	3
101	331	0	2.525	0	0	0	0	0	0.001	1000	0	0	0	3
102	333	0	2.55	0	0	0	0	0	0.001	1000	0	0	0	3
103	334	0	2.575	0	0	0	0	0	0.001	1000	0	0	0	3
104	336	0	2.6	0	0	0	0	0	0.001	1000	0	0	0	3
105	339	0	2.625	0	0	0	0	0	0.001	1000	0	0	0	3
106	341	0	2.65	0	0	0	0	0	0.001	1000	0	0	0	3
107	342	0	2.675	0	0	0	0	0	0.001	1000	0	0	0	3
108	344	0	2.7	0	0	0	0	0	0.001	1000	0	0	0	3
109	345	0	2.725	0	0	0	0	0	0.001	1000	0	0	0	3
110	347	0	2.75	0	0	0	0	0	0.001	1000	0	0	0	3
111	349	0	2.775	0	0	0	0	0	0.001	1000	0	0	0	3
112	352	0	2.8	0	0	0	0	0	0.001	1000	0	0	0	3
113	352	0	2.825	0	0	0	0	0	0.001	1000	0	0	0	3
114	354	0	2.85	0	0	0	0	0	0.001	1000	0	0	0	3
115	357	0	2.875	0	0	0	0	0	0.001	1000	0	0	0	3
116	358	0	2.9	0	0	0	0	0	0.001	1000	0	0	0	3
117	360	0	2.925	0	0	0	0	0	0.001	1000	0	0	0	3
118	363	0	2.95	0	0	0	0	0	0.001	1000	0	0	0	3
119	364	0	2.975	0	0	0	0	0	0.001	1000	0	0	0	3
120	367	0	3	0	0	0	0	0	0.001	1000	0	0	0	3
121	368	0	3.025	0	0	0	0	0	0.001	1000	0	0	0	3
122	370	0	3.05	0	0	0	0	0	0.001	1000	0	0	0	3
123	372	0	3.075	0	0	0	0	0	0.001	1000	0	0	0	3
124	373	0	3.1	0	0	0	0	0	0.001	1000	0	0	0	3
125	374	0	3.125	0	0	0	0	0	0.001	1000	0	0	0	3
126	375	0	3.15	0	0	0	0	0	0.001	1000	0	0	0	3
