Iteration	CPUTime	PhysTime	Travels	CourFact
1	11	0	0.025	0
2	15	0	0.05	0
3	18	0	0.075	0
4	22	0	0.1	0
5	26	0	0.125	0
6	29	0	0.15	0
7	33	0	0.175	0
8	37	0	0.2	0
9	41	0	0.225	0
10	45	0	0.25	0
11	50	0	0.275	0
12	54	0	0.3	0
13	58	0	0.325	0
14	61	0	0.35	0
15	67	0	0.375	0
16	71	0	0.4	0
17	76	0	0.425	0
18	80	0	0.45	0
19	84	0	0.475	0
20	88	0	0.5	0
21	92	0	0.525	0
22	97	0	0.55	0
23	100	0	0.575	0
24	104	0	0.6	0
25	109	0	0.625	0
26	113	0	0.65	0
27	117	0	0.675	0
28	122	0	0.7	0
29	125	0	0.725	0
30	129	0	0.75	0
31	133	0	0.775	0
32	137	0	0.8	0
33	141	0	0.825	0
34	145	0	0.85	0
35	149	0	0.875	0
36	153	0	0.9	0
37	156	0	0.925	0
38	160	0	0.95	0
39	164	0	0.975	0
40	168	0	1	0
41	172	0	1.025	0
42	176	0	1.05	0
43	180	0	1.075	0
44	184	0	1.1	0
45	187	0	1.125	0
46	192	0	1.15	0
47	196	0	1.175	0
48	200	0	1.2	0
49	204	0	1.225	0
50	207	0	1.25	0
51	211	0	1.275	0
52	215	0	1.3	0
53	219	0	1.325	0
54	223	0	1.35	0
55	227	0	1.375	0
56	234	0	1.4	0
57	237	0	1.425	0
58	240	0	1.45	0
59	243	0	1.475	0
60	245	0	1.5	0
61	246	0	1.525	0
62	247	0	1.55	0
63	249	0	1.575	0
64	250	0	1.6	0
65	253	0	1.625	0
66	255	0	1.65	0
67	257	0	1.675	0
68	260	0	1.7	0
69	264	0	1.725	0
70	265	0	1.75	0
71	267	0	1.775	0
72	268	0	1.8	0
73	270	0	1.825	0
74	274	0	1.85	0
75	277	0	1.875	0
76	280	0	1.9	0
77	284	0	1.925	0
78	285	0	1.95	0
79	287	0	1.975	0
80	289	0	2	0
81	292	0	2.025	0
82	294	0	2.05	0
83	297	0	2.075	0
84	298	0	2.1	0
85	298	0	2.125	0
86	299	0	2.15	0
87	300	0	2.175	0
88	302	0	2.2	0
89	305	0	2.225	0
90	306	0	2.25	0
91	308	0	2.275	0
92	312	0	2.3	0
93	314	0	2.325	0
94	317	0	2.35	0
95	319	0	2.375	0
96	322	0	2.4	0
97	322	0	2.425	0
98	323	0	2.45	0
99	326	0	2.475	0
100	328	0	2.5	0
101	331	0	2.525	0
102	333	0	2.55	0
103	334	0	2.575	0
104	336	0	2.6	0
105	339	0	2.625	0
106	341	0	2.65	0
107	342	0	2.675	0
108	344	0	2.7	0
109	345	0	2.725	0
110	347	0	2.75	0
111	349	0	2.775	0
112	352	0	2.8	0
113	352	0	2.825	0
114	354	0	2.85	0
115	357	0	2.875	0
116	358	0	2.9	0
117	360	0	2.925	0
118	363	0	2.95	0
119	364	0	2.975	0
120	367	0	3	0
121	368	0	3.025	0
122	370	0	3.05	0
123	372	0	3.075	0
124	373	0	3.1	0
125	374	0	3.125	0
126	375	0	3.15	0
127	378	0	3.175	0
128	380	0	3.2	0
129	381	0	3.225	0
130	383	0	3.25	0
131	386	0	3.275	0
132	388	0	3.3	0
133	390	0	3.325	0
134	390	0	3.35	0
135	392	0	3.375	0
136	394	0	3.4	0
137	397	0	3.425	0
138	399	0	3.45	0
139	400	0	3.475	0
140	402	0	3.5	0
141	405	0	3.525	0
142	407	0	3.55	0
143	409	0	3.575	0
144	410	0	3.6	0
145	412	0	3.625	0
146	413	0	3.65	0
147	415	0	3.675	0
148	417	0	3.7	0
149	419	0	3.725	0
150	421	0	3.75	0
151	422	0	3.775	0
152	424	0	3.8	0
153	426	0	3.825	0
154	427	0	3.85	0
155	428	0	3.875	0
156	430	0	3.9	0
157	432	0	3.925	0
158	433	0	3.95	0
159	433	0	3.975	0
160	433	0	4	0
