Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0221425651	99.9914322	99.9914322	99.9914322	99.9914322	0	0	0	0	0	0	3
2	14	0	0.0442851302	23.4195182	61.7054752	23.4195182	99.9914322	38.285957	0	0	0	0	0	3
3	19	0	0.0664276954	13.3349866	45.581979	13.3349866	99.9914322	54.4094532	0	0	0	0	0	3
4	24	0	0.0885702605	10.6166628	36.8406499	10.6166628	99.9914322	63.1507823	0	0	0	0	0	3
5	29	0	0.110712826	9.37676808	31.3478736	9.37676808	99.9914322	68.6435586	0	0	0	0	0	3
6	35	0	0.132855391	7.43915398	27.363087	7.43915398	99.9914322	72.6283452	0	0	0	0	0	3
7	41	0	0.154997956	6.0863872	24.3235584	6.0863872	99.9914322	75.6678738	0	0	0	0	0	3
8	47	0	0.177140521	5.90354163	22.0210563	5.90354163	99.9914322	77.9703759	0	0	0	0	0	3
9	52	0	0.199283086	5.01526288	20.1315237	5.01526288	99.9914322	79.8599085	0	0	0	0	0	3
10	57	0	0.221425651	4.7659875	18.5949701	4.7659875	99.9914322	81.3964621	0	0	0	0	0	3
11	63	0	0.243568216	4.34840594	17.2998279	4.34840594	99.9914322	82.6916043	0	0	0	0	0	3
12	68	0	0.265710781	4.2498486	16.2123296	4.2498486	99.9914322	83.7791026	0	0	0	0	0	3
13	74	0	0.287853347	4.07379692	15.2785963	4.07379692	99.9914322	84.7128358	0	0	0	0	0	3
14	79	0	0.309995912	4.02103942	14.4744851	4.02103942	99.9914322	85.516947	0	0	0	0	0	3
15	85	0	0.332138477	4.09773491	13.7827018	4.02103942	99.9914322	86.2087304	0	0	0	0	0	3
16	91	0	0.354281042	3.85777912	13.1623941	3.85777912	99.9914322	86.8290381	0	0	0	0	0	3
17	96	0	0.376423607	3.73788197	12.6080111	3.73788197	99.9914322	87.3834211	0	0	0	0	0	3
18	102	0	0.398566172	3.62011281	12.1086834	3.62011281	99.9914322	87.8827488	0	0	0	0	0	3
19	107	0	0.420708737	3.57040183	11.6593001	3.57040183	99.9914322	88.3321321	0	0	0	0	0	3
20	113	0	0.442851302	3.46796365	11.2497333	3.46796365	99.9914322	88.7416989	0	0	0	0	0	3
21	119	0	0.464993868	3.42813824	10.8772764	3.42813824	99.9914322	89.1141558	0	0	0	0	0	3
22	124	0	0.487136433	3.35933648	10.5355519	3.35933648	99.9914322	89.4558803	0	0	0	0	0	3
23	129	0	0.509278998	3.34360658	10.2228586	3.34360658	99.9914322	89.7685736	0	0	0	0	0	3
24	135	0	0.531421563	3.32931863	6.020158	3.32931863	23.4195182	20.0901995	0	0	0	0	0	3
25	141	0	0.553564128	3.31156072	5.14589898	3.31156072	13.3349866	10.0234259	0	0	0	0	0	3
26	147	0	0.575706693	3.27669416	4.70858191	3.27669416	10.6166628	7.3399686	0	0	0	0	0	3
27	153	0	0.597849258	3.25271754	4.38841038	3.25271754	9.37676808	6.12405054	0	0	0	0	0	3
28	158	0	0.619991823	3.21951111	4.12070356	3.21951111	7.43915398	4.21964286	0	0	0	0	0	3
29	164	0	0.642134389	3.15893493	3.93460708	3.15893493	6.0863872	2.92745227	0	0	0	0	0	3
30	170	0	0.664276954	3.10122258	3.80481731	3.10122258	5.90354163	2.80231905	0	0	0	0	0	3
31	176	0	0.686419519	3.05449983	3.68094593	3.05449983	5.01526288	1.96076305	0	0	0	0	0	3
32	182	0	0.708562084	2.97020245	3.59203026	2.97020245	4.7659875	1.79578505	0	0	0	0	0	3
33	187	0	0.730704649	2.90100992	3.51094428	2.90100992	4.34840594	1.44739601	0	0	0	0	0	3
34	193	0	0.752847214	2.83923463	3.44532813	2.83923463	4.2498486	1.41061397	0	0	0	0	0	3
35	199	0	0.774989779	2.78466066	3.38162431	2.78466066	4.09773491	1.31307426	0	0	0	0	0	3
36	205	0	0.797132344	2.76246038	3.32460968	2.76246038	4.09773491	1.33527453	0	0	0	0	0	3
37	211	0	0.81927491	2.75004325	3.26934897	2.75004325	4.09773491	1.34769166	0	0	0	0	0	3
38	217	0	0.841417475	2.7392835	3.21028587	2.7392835	3.85777912	1.11849562	0	0	0	0	0	3
39	223	0	0.86356004	2.72857937	3.16119023	2.72857937	3.73788197	1.0093026	0	0	0	0	0	3
40	228	0	0.885702605	2.6929974	3.11576046	2.6929974	3.62011281	0.927115414	0	0	0	0	0	3
41	234	0	0.90784517	2.66515701	3.07424065	2.66515701	3.57040183	0.905244821	0	0	0	0	0	3
42	240	0	0.929987735	2.65009793	3.03422743	2.65009793	3.46796365	0.817865728	0	0	0	0	0	3
43	246	0	0.9521303	2.64600462	2.99849008	2.64600462	3.42813824	0.782133626	0	0	0	0	0	3
44	252	0	0.974272865	2.64863375	2.96459858	2.64600462	3.35933648	0.713331862	0	0	0	0	0	3
45	258	0	0.996415431	2.64696705	2.933626	2.64600462	3.34360658	0.697601966	0	0	0	0	0	3
46	263	0	1.018558	2.64024571	2.90304509	2.64024571	3.32931863	0.689072922	0.768224628	100	0	0	0	3
