Iteration	CPUTime	PhysTime	Travels	CourFact
1	8	0	0.0221425651	0
2	14	0	0.0442851302	0
3	19	0	0.0664276954	0
4	24	0	0.0885702605	0
5	29	0	0.110712826	0
6	35	0	0.132855391	0
7	41	0	0.154997956	0
8	47	0	0.177140521	0
9	52	0	0.199283086	0
10	57	0	0.221425651	0
11	63	0	0.243568216	0
12	68	0	0.265710781	0
13	74	0	0.287853347	0
14	79	0	0.309995912	0
15	85	0	0.332138477	0
16	91	0	0.354281042	0
17	96	0	0.376423607	0
18	102	0	0.398566172	0
19	107	0	0.420708737	0
20	113	0	0.442851302	0
21	119	0	0.464993868	0
22	124	0	0.487136433	0
23	129	0	0.509278998	0
24	135	0	0.531421563	0
25	141	0	0.553564128	0
26	147	0	0.575706693	0
27	153	0	0.597849258	0
28	158	0	0.619991823	0
29	164	0	0.642134389	0
30	170	0	0.664276954	0
31	176	0	0.686419519	0
32	182	0	0.708562084	0
33	187	0	0.730704649	0
34	193	0	0.752847214	0
35	199	0	0.774989779	0
36	205	0	0.797132344	0
37	211	0	0.81927491	0
38	217	0	0.841417475	0
39	223	0	0.86356004	0
40	228	0	0.885702605	0
41	234	0	0.90784517	0
42	240	0	0.929987735	0
43	246	0	0.9521303	0
44	252	0	0.974272865	0
45	258	0	0.996415431	0
46	263	0	1.018558	0
