Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0218577417	0	0	0	0	0	0	0	0	0	0	3
2	15	0	0.0437154833	0	0	0	0	0	0	0	0	0	0	3
3	21	0	0.065573225	0	0	0	0	0	0	0	0	0	0	3
4	27	0	0.0874309667	0	0	0	0	0	0	0	0	0	0	3
5	33	0	0.109288708	0	0	0	0	0	0	0	0	0	0	3
6	39	0	0.13114645	-0.00438913753	-0.000731522922	-0.00438913753	0	0.000731522922	0	0	0	0	0	3
7	45	0	0.153004192	-0.637228174	-0.091659616	-0.637228174	0	0.091659616	0	0	0	0	0	3
8	51	0	0.174861933	-0.975507095	-0.202140551	-0.975507095	0	0.202140551	0	0	0	0	0	3
9	57	0	0.196719675	-0.99944522	-0.290729958	-0.99944522	0	0.290729958	0	0	0	0	0	3
10	62	0	0.218577417	-0.787617574	-0.34041872	-0.99944522	0	0.34041872	0	0	0	0	0	3
11	68	0	0.240435158	-0.640720454	-0.367718878	-0.99944522	0	0.367718878	0	0	0	0	0	3
12	74	0	0.2622929	-0.626379275	-0.389273911	-0.99944522	0	0.389273911	0	0	0	0	0	3
13	80	0	0.284150642	-0.731886816	-0.41562875	-0.99944522	0	0.41562875	0	0	0	0	0	3
14	86	0	0.306008383	-0.910315721	-0.450963533	-0.99944522	0	0.450963533	0	0	0	0	0	3
15	92	0	0.327866125	-0.966424295	-0.485327584	-0.99944522	0	0.485327584	0	0	0	0	0	3
16	97	0	0.349723867	-1.08442974	-0.522771469	-1.08442974	0	0.522771469	0	0	0	0	0	3
17	103	0	0.371581608	-1.15538005	-0.559983738	-1.15538005	0	0.559983738	0	0	0	0	0	3
18	109	0	0.39343935	-1.21676049	-0.596471335	-1.21676049	0	0.596471335	0	0	0	0	0	3
19	115	0	0.415297092	-1.20110423	-0.628294119	-1.21676049	0	0.628294119	0	0	0	0	0	3
20	121	0	0.437154833	-1.16804594	-0.65528171	-1.21676049	0	0.65528171	0	0	0	0	0	3
21	127	0	0.459012575	-1.21450949	-0.681911604	-1.21676049	0	0.681911604	0	0	0	0	0	3
22	133	0	0.480870317	-1.30838215	-0.710387538	-1.30838215	0	0.710387538	0	0	0	0	0	3
