Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0218577417	101325.776	101325.776	101325.776	101325.776	0	0	0	184.251	0	0	3
2	15	0	0.0437154833	101324.962	101325.369	101324.962	101325.776	0.407322541	0	0	101.568	0	0	3
3	21	0	0.065573225	101325.019	101325.252	101324.962	101325.776	0.524133349	0	0	116.776	0	0	3
4	27	0	0.0874309667	101324.991	101325.187	101324.962	101325.776	0.589487684	0	0	110.847	0	0	3
5	33	0	0.109288708	101325.004	101325.15	101324.962	101325.776	0.626024544	0	0	93.5804	0	0	3
6	39	0	0.13114645	101324.994	101325.124	101324.962	101325.776	0.652061242	0	0	74.876	0	0	3
7	45	0	0.153004192	101324.995	101325.106	101324.962	101325.776	0.670546136	0	0	52.4815	0	0	3
8	51	0	0.174861933	101324.985	101325.091	101324.962	101325.776	0.685637069	0	0	32.0072	0	0	3
9	57	0	0.196719675	101324.979	101325.078	101324.962	101325.776	0.69808195	0	0	24.5851	0	0	3
10	62	0	0.218577417	101324.978	101325.068	101324.962	101325.776	0.708125185	0	0	32.0769	0	0	3
11	68	0	0.240435158	101324.967	101325.059	101324.962	101325.776	0.717366025	0	0	26.089	0	0	3
12	74	0	0.2622929	101324.958	101325.051	101324.958	101325.776	0.725744168	0	0	25.4821	0	0	3
13	80	0	0.284150642	101324.947	101325.043	101324.947	101325.776	0.73372702	0	0	24.3667	0	0	3
14	86	0	0.306008383	101324.932	101325.035	101324.932	101325.776	0.741629341	0	0	22.0621	0	0	3
15	92	0	0.327866125	101324.921	101325.027	101324.921	101325.776	0.749231594	0	0	19.1189	0	0	3
16	97	0	0.349723867	101324.91	101325.02	101324.91	101325.776	0.756558209	0	0	16.612	0	0	3
17	103	0	0.371581608	101324.898	101325.013	101324.898	101325.776	0.763733317	0	0	13.7578	0	0	3
18	109	0	0.39343935	101324.889	101325.006	101324.889	101325.776	0.770585426	0	0	11.7961	0	0	3
19	115	0	0.415297092	101324.886	101324.999	101324.886	101325.776	0.776891564	0	0	11.8092	0	0	3
20	121	0	0.437154833	101324.883	101324.994	101324.883	101325.776	0.782709307	0	0	11.8131	0	0	3
21	127	0	0.459012575	101324.888	101324.989	101324.883	101325.776	0.787756069	0	0	11.806	0	0	3
22	133	0	0.480870317	101324.895	101324.984	101324.883	101325.776	0.791993574	0	0	11.796	0	0	3
23	139	0	0.502728058	101324.904	101324.981	101324.883	101325.776	0.795494451	0	0	11.7834	0	0	3
24	145	0	0.5245858	101324.918	101324.944	101324.883	101325.019	0.135491464	0	0	11.9311	0	0	3
25	151	0	0.546443542	101324.934	101324.942	101324.883	101325.019	0.135491464	0	0	12.0675	0	0	3
26	157	0	0.568301283	101324.957	101324.94	101324.883	101325.004	0.121074446	0	0	12.1464	0	0	3
27	162	0	0.590159025	101324.985	101324.939	101324.883	101325.004	0.121074446	0	0	12.2122	0	0	3
28	169	0	0.612016767	101325.011	101324.94	101324.883	101325.011	0.128021671	0	0	12.2425	0	0	3
29	174	0	0.633874508	101325.035	101324.941	101324.883	101325.035	0.152015227	0	0	12.2551	0	0	3
30	180	0	0.65573225	101325.058	101324.944	101324.883	101325.058	0.151357472	0	0	12.2358	0	0	3
31	186	0	0.677589992	101325.078	101324.948	101324.883	101325.078	0.138912592	0	0	12.2162	0	0	3
32	192	0	0.699447733	101325.096	101324.953	101324.883	101325.096	0.128869356	0	0	12.1801	0	0	3
33	212	0	0.721305475	101325.112	101324.959	101324.883	101325.112	0.119628516	0	0	12.1405	0	0	3
34	218	0	0.743163217	101325.121	101324.966	101324.883	101325.121	0.111250373	0	0	12.0977	0	0	3
35	224	0	0.765020959	101325.126	101324.973	101324.883	101325.126	0.103267521	0	0	12.06	0	0	3
36	230	0	0.7868787	101325.127	101324.981	101324.883	101325.127	0.0953652005	0	0	12.0334	0	0	3
37	236	0	0.808736442	101325.131	101324.99	101324.883	101325.131	0.0877629473	0	0	12.0267	0	0	3
38	241	0	0.830594184	101325.139	101324.999	101324.883	101325.139	0.0804363327	0	0	12.0242	0	0	3
39	247	0	0.852451925	101325.149	101325.01	101324.883	101325.149	0.0732612243	0	0	12.0113	0	0	3
40	253	0	0.874309667	101325.156	101325.021	101324.883	101325.156	0.0813250309	0	0	11.984	0	0	3
41	260	0	0.896167409	101325.157	101325.032	101324.883	101325.157	0.0929570386	0	0	11.9577	0	0	3
42	266	0	0.91802515	101325.154	101325.044	101324.883	101325.157	0.104623362	0	0	11.926	0	0	3
43	273	0	0.939882892	101325.15	101325.056	101324.888	101325.157	0.116247537	0	0	11.9036	0	0	3
44	279	0	0.961740634	101325.147	101325.067	101324.895	101325.157	0.127512882	0	0	11.8863	0	0	3
45	285	0	0.983598375	101325.144	101325.078	101324.904	101325.157	0.13833051	0	0	11.8773	0	0	3
46	292	0	1.00545612	101325.143	101325.088	101324.918	101325.157	0.148743427	0.0181634842	0	11.875	0	0	3
47	299	0	1.02731386	101325.144	101325.098	101324.934	101325.157	0.158594982	0.0181634842	0	11.8749	0	0	3
