Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	73.4798869	73.4798869	73.4798869	73.4798869	0	0	0	0	0	0	3
2	1	0	0.05	22.6785042	48.0791955	22.6785042	73.4798869	25.4006914	0	0	0	0	0	3
3	2	0	0.075	12.6569193	36.2717701	12.6569193	73.4798869	37.2081168	0	0	0	0	0	3
4	2	0	0.1	8.76092699	29.3940593	8.76092699	73.4798869	44.0858275	0	0	0	0	0	3
5	2	0	0.125	8.06729856	25.1287072	8.06729856	73.4798869	48.3511797	0	0	0	0	0	3
6	3	0	0.15	7.26879628	22.1520554	7.26879628	73.4798869	51.3278315	0	0	0	0	0	3
7	3	0	0.175	6.88617624	19.9712155	6.88617624	73.4798869	53.5086714	0	0	0	0	0	3
8	4	0	0.2	6.32977662	18.2660356	6.32977662	73.4798869	55.2138513	0	0	0	0	0	3
9	4	0	0.225	5.84732665	16.8861791	5.84732665	73.4798869	56.5937078	0	0	0	0	0	3
10	4	0	0.25	5.590433	15.7566045	5.590433	73.4798869	57.7232824	0	0	0	0	0	3
11	5	0	0.275	5.40180378	14.815259	5.40180378	73.4798869	58.6646279	0	0	0	0	0	3
12	5	0	0.3	5.24709744	14.0179122	5.24709744	73.4798869	59.4619747	0	0	0	0	0	3
13	5	0	0.325	5.07659202	13.3301183	5.07659202	73.4798869	60.1497686	0	0	0	0	0	3
14	6	0	0.35	4.99770848	12.7349462	4.99770848	73.4798869	60.7449407	0	0	0	0	0	3
15	6	0	0.375	4.86143249	12.2100453	4.86143249	73.4798869	61.2698416	0	0	0	0	0	3
16	7	0	0.4	4.75263463	11.7439571	4.75263463	73.4798869	61.7359298	0	0	0	0	0	3
17	7	0	0.425	4.60208766	11.3238471	4.60208766	73.4798869	62.1560398	0	0	0	0	0	3
18	7	0	0.45	4.50328476	10.944927	4.50328476	73.4798869	62.5349599	0	0	0	0	0	3
19	8	0	0.475	4.39074647	10.5999701	4.39074647	73.4798869	62.8799168	0	0	0	0	0	3
