Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	4.12709468	4.12709468	4.12709468	4.12709468	0	0	0	4.12709	0	0	3
2	1	0	0.05	4.04161315	4.08435392	4.04161315	4.12709468	0.0427407646	0	0	4.04161	0	0	3
3	2	0	0.075	3.93077296	4.03316027	3.93077296	4.12709468	0.093934418	0	0	3.93077	0	0	3
4	2	0	0.1	4.22082753	4.08007708	3.93077296	4.22082753	0.093934418	0	0	4.22083	0	0	3
5	2	0	0.125	4.52640156	4.16934198	3.93077296	4.52640156	0.136181712	0	0	4.5264	0	0	3
6	3	0	0.15	4.86148576	4.28469928	3.93077296	4.86148576	0.25153901	0	0	4.86149	0	0	3
7	3	0	0.175	4.99592338	4.38630272	3.93077296	4.99592338	0.353142453	0	0	4.99592	0	0	3
8	4	0	0.2	4.97599995	4.46001487	3.93077296	4.99592338	0.426854608	0	0	4.976	0	0	3
9	4	0	0.225	4.8738282	4.50599413	3.93077296	4.99592338	0.472833866	0	0	4.87383	0	0	3
10	4	0	0.25	4.74336623	4.52973134	3.93077296	4.99592338	0.496571076	0	0	4.74337	0	0	3
11	5	0	0.275	4.58986273	4.53519783	3.93077296	4.99592338	0.502037566	0	0	4.58986	0	0	3
12	5	0	0.3	4.48120737	4.53069863	3.93077296	4.99592338	0.502037566	0	0	4.48121	0	0	3
13	5	0	0.325	4.41407051	4.52172723	3.93077296	4.99592338	0.502037566	0	0	4.41407	0	0	3
14	6	0	0.35	4.37660084	4.51136106	3.93077296	4.99592338	0.502037566	0	0	4.3766	0	0	3
15	6	0	0.375	4.36210459	4.50141063	3.93077296	4.99592338	0.502037566	0	0	4.3621	0	0	3
16	7	0	0.4	4.35917807	4.4925211	3.93077296	4.99592338	0.502037566	0	0	4.35918	0	0	3
17	7	0	0.425	4.36655411	4.48511127	3.93077296	4.99592338	0.502037566	0	0	4.36655	0	0	3
18	7	0	0.45	4.37596622	4.47904766	3.93077296	4.99592338	0.502037566	0	0	4.37597	0	0	3
19	8	0	0.475	4.38712478	4.47420961	3.93077296	4.99592338	0.502037566	0	0	4.38712	0	0	3
20	8	0	0.5	4.39623335	4.4703108	3.93077296	4.99592338	0.502037566	0	0	4.39623	0	0	3
21	9	0	0.525	4.40229421	4.48407078	3.93077296	4.99592338	0.502037566	0	0	4.40229	0	0	3
22	9	0	0.55	4.4022325	4.50210174	3.93077296	4.99592338	0.502037566	0	0	4.40223	0	0	3
23	10	0	0.575	4.39710905	4.52541855	4.22082753	4.99592338	0.45512075	0	0	4.39711	0	0	3
24	10	0	0.6	4.38853269	4.53380381	4.35917807	4.99592338	0.365855854	0	0	4.38853	0	0	3
25	11	0	0.625	4.37772463	4.52636996	4.35917807	4.99592338	0.250498557	0	0	4.37772	0	0	3
26	11	0	0.65	4.36415287	4.50150331	4.35917807	4.99592338	0.148895113	0	0	4.36415	0	0	3
27	11	0	0.675	4.35192631	4.46930346	4.35192631	4.97599995	0.0751829586	0	0	4.35193	0	0	3
28	12	0	0.7	4.33946607	4.43747677	4.33946607	4.8738282	0.0977210651	0	0	4.33947	0	0	3
29	12	0	0.725	4.32622795	4.41009675	4.32622795	4.74336623	0.125101077	0	0	4.32623	0	0	3
30	13	0	0.75	4.31248678	4.38855278	4.31248678	4.58986273	0.14664505	0	0	4.31249	0	0	3
31	13	0	0.775	4.29678423	4.37389886	4.29678423	4.48120737	0.159904949	0	0	4.29678	0	0	3
32	14	0	0.8	4.28346356	4.36401167	4.28346356	4.41407051	0.130606946	0	0	4.28346	0	0	3
33	14	0	0.825	4.27181341	4.35689881	4.27181341	4.40229421	0.130480807	0	0	4.27181	0	0	3
34	14	0	0.85	4.2625913	4.35119833	4.2625913	4.40229421	0.139702911	0	0	4.26259	0	0	3
35	15	0	0.875	4.25694981	4.3459406	4.25694981	4.40229421	0.145344405	0	0	4.25695	0	0	3
36	15	0	0.9	4.25440529	4.34070196	4.25440529	4.40229421	0.147888921	0	0	4.25441	0	0	3
37	16	0	0.925	4.25548827	4.33514866	4.25440529	4.40229421	0.147888921	0	0	4.25549	0	0	3
38	16	0	0.95	4.25757445	4.32922908	4.25440529	4.40229421	0.147888921	0	0	4.25757	0	0	3
39	17	0	0.975	4.26035248	4.32289046	4.25440529	4.40229421	0.147888921	0	0	4.26035	0	0	3
40	17	0	1	4.26166112	4.31616185	4.25440529	4.40229421	0.147888921	0.159772563	100	4.26166	0	0	3
41	17	0	1.025	4.26359993	4.30922714	4.25440529	4.4022325	0.147827211	0.159772563	100	4.2636	0	0	3
42	18	0	1.05	4.26459284	4.30234515	4.25440529	4.39710905	0.142703754	0.159772563	100	4.26459	0	0	3
43	18	0	1.075	4.26669556	4.29582448	4.25440529	4.38853269	0.134127393	0.159772563	100	4.2667	0	0	3
44	19	0	1.1	4.26634558	4.29442072	4.25440529	4.38853269	0.134127393	0.159772563	100	4.26635	0	0	3
45	19	0	1.125	4.26636114	4.28860303	4.25440529	4.37772463	0.123319339	0.159772563	100	4.26636	0	0	3
46	20	0	1.15	4.26418268	4.28319627	4.25440529	4.36415287	0.10974758	0.159772563	100	4.26418	0	0	3
47	20	0	1.175	4.26275482	4.27836779	4.25440529	4.35192631	0.0975210195	0.159772563	100	4.26275	0	0	3
48	20	0	1.2	4.26098081	4.27403705	4.25440529	4.33946607	0.085060781	0.159772563	100	4.26098	0	0	3
49	21	0	1.225	4.25996676	4.27025137	4.25440529	4.32622795	0.0718226598	0.159772563	100	4.25997	0	0	3
50	21	0	1.25	4.25850782	4.2670266	4.25440529	4.31248678	0.0580814906	0.159772563	100	4.25851	0	0	3
51	22	0	1.275	4.2570653	4.26438748	4.25440529	4.29678423	0.0423789422	0.159772563	100	4.25707	0	0	3
52	22	0	1.3	4.25515228	4.26240501	4.25440529	4.28346356	0.0290582682	0.159772563	100	4.25515	0	0	3
53	23	0	1.325	4.25361947	4.26098386	4.25361947	4.27181341	0.0181939389	0.159772563	100	4.25362	0	0	3
54	23	0	1.35	4.25161666	4.26002211	4.25161666	4.26669556	0.0150788975	0.159772563	100	4.25162	0	0	3
