Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	4.12709	0	0	3
2	1	0	0.05	0	0	0	0	0	0	0	4.04161	0	0	3
3	2	0	0.075	0	0	0	0	0	0	0	3.93077	0	0	3
4	2	0	0.1	0	0	0	0	0	0	0	4.22083	0	0	3
5	2	0	0.125	0	0	0	0	0	0	0	4.5264	0	0	3
6	3	0	0.15	0	0	0	0	0	0	0	4.86149	0	0	3
7	3	0	0.175	0	0	0	0	0	0	0	4.99592	0	0	3
8	4	0	0.2	0	0	0	0	0	0	0	4.976	0	0	3
9	4	0	0.225	0	0	0	0	0	0	0	4.87383	0	0	3
10	4	0	0.25	0	0	0	0	0	0	0	4.74337	0	0	3
11	5	0	0.275	0	0	0	0	0	0	0	4.58986	0	0	3
12	5	0	0.3	0	0	0	0	0	0	0	4.48121	0	0	3
13	5	0	0.325	0	0	0	0	0	0	0	4.41407	0	0	3
14	6	0	0.35	0	0	0	0	0	0	0	4.3766	0	0	3
15	6	0	0.375	0	0	0	0	0	0	0	4.3621	0	0	3
16	7	0	0.4	0	0	0	0	0	0	0	4.35918	0	0	3
17	7	0	0.425	0	0	0	0	0	0	0	4.36655	0	0	3
18	7	0	0.45	0	0	0	0	0	0	0	4.37597	0	0	3
19	8	0	0.475	0	0	0	0	0	0	0	4.38712	0	0	3
20	8	0	0.5	0	0	0	0	0	0	0	4.39623	0	0	3
21	9	0	0.525	0	0	0	0	0	0	0	4.40229	0	0	3
22	9	0	0.55	0	0	0	0	0	0	0	4.40223	0	0	3
23	10	0	0.575	0	0	0	0	0	0	0	4.39711	0	0	3
24	10	0	0.6	0	0	0	0	0	0	0	4.38853	0	0	3
25	11	0	0.625	0	0	0	0	0	0	0	4.37772	0	0	3
26	11	0	0.65	0	0	0	0	0	0	0	4.36415	0	0	3
27	11	0	0.675	0	0	0	0	0	0	0	4.35193	0	0	3
28	12	0	0.7	0	0	0	0	0	0	0	4.33947	0	0	3
29	12	0	0.725	0	0	0	0	0	0	0	4.32623	0	0	3
30	13	0	0.75	0	0	0	0	0	0	0	4.31249	0	0	3
31	13	0	0.775	0	0	0	0	0	0	0	4.29678	0	0	3
32	14	0	0.8	0	0	0	0	0	0	0	4.28346	0	0	3
33	14	0	0.825	0	0	0	0	0	0	0	4.27181	0	0	3
34	14	0	0.85	0	0	0	0	0	0	0	4.26259	0	0	3
35	15	0	0.875	0	0	0	0	0	0	0	4.25695	0	0	3
36	15	0	0.9	0	0	0	0	0	0	0	4.25441	0	0	3
37	16	0	0.925	0	0	0	0	0	0	0	4.25549	0	0	3
38	16	0	0.95	0	0	0	0	0	0	0	4.25757	0	0	3
39	17	0	0.975	0	0	0	0	0	0	0	4.26035	0	0	3
40	17	0	1	0	0	0	0	0	0	100	4.26166	0	0	3
41	17	0	1.025	0	0	0	0	0	0	100	4.2636	0	0	3
42	18	0	1.05	0	0	0	0	0	0	100	4.26459	0	0	3
43	18	0	1.075	0	0	0	0	0	0	100	4.2667	0	0	3
44	19	0	1.1	0	0	0	0	0	0	100	4.26635	0	0	3
45	19	0	1.125	0	0	0	0	0	0	100	4.26636	0	0	3
46	20	0	1.15	0	0	0	0	0	0	100	4.26418	0	0	3
47	20	0	1.175	0	0	0	0	0	0	100	4.26275	0	0	3
48	20	0	1.2	0	0	0	0	0	0	100	4.26098	0	0	3
49	21	0	1.225	0	0	0	0	0	0	100	4.25997	0	0	3
50	21	0	1.25	0	0	0	0	0	0	100	4.25851	0	0	3
51	22	0	1.275	0	0	0	0	0	0	100	4.25707	0	0	3
52	22	0	1.3	0	0	0	0	0	0	100	4.25515	0	0	3
53	23	0	1.325	0	0	0	0	0	0	100	4.25362	0	0	3
54	23	0	1.35	0	0	0	0	0	0	100	4.25162	0	0	3
