Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.025	101325.307	101325.307	101325.307	101325.307	0	0	0	132.952	0	0	3
2	15	0	0.05	101324.974	101325.141	101324.974	101325.307	0.166607808	0	0	99.4962	0	0	3
3	18	0	0.075	101325.028	101325.103	101324.974	101325.307	0.204355076	0	0	95.2348	0	0	3
4	22	0	0.1	101325.014	101325.081	101324.974	101325.307	0.226509434	0	0	97.6521	0	0	3
5	26	0	0.125	101325.01	101325.067	101324.974	101325.307	0.240706784	0	0	90.821	0	0	3
6	29	0	0.15	101324.999	101325.055	101324.974	101325.307	0.252074599	0	0	78.9023	0	0	3
7	33	0	0.175	101325.001	101325.048	101324.974	101325.307	0.259889956	0	0	64.7889	0	0	3
8	37	0	0.2	101324.992	101325.041	101324.974	101325.307	0.266794465	0	0	48.046	0	0	3
9	41	0	0.225	101324.993	101325.035	101324.974	101325.307	0.272127983	0	0	28.7708	0	0	3
10	45	0	0.25	101324.982	101325.03	101324.974	101325.307	0.277425636	0	0	15.9078	0	0	3
11	50	0	0.275	101324.984	101325.026	101324.974	101325.307	0.281636054	0	0	11.2495	0	0	3
12	54	0	0.3	101324.974	101325.022	101324.974	101325.307	0.285940971	0	0	10.5048	0	0	3
13	58	0	0.325	101324.972	101325.018	101324.972	101325.307	0.289751878	0	0	10.3556	0	0	3
14	61	0	0.35	101324.966	101325.014	101324.966	101325.307	0.293445707	0	0	10.8706	0	0	3
15	67	0	0.375	101324.964	101325.011	101324.964	101325.307	0.296751994	0	0	11.3252	0	0	3
16	71	0	0.4	101324.963	101325.008	101324.963	101325.307	0.299717448	0	0	10.4997	0	0	3
17	76	0	0.425	101324.964	101325.005	101324.963	101325.307	0.302310427	0	0	9.31876	0	0	3
18	80	0	0.45	101324.963	101325.003	101324.963	101325.307	0.30465127	0	0	8.90716	0	0	3
19	84	0	0.475	101324.965	101325.001	101324.963	101325.307	0.306624884	0	0	8.8323	0	0	3
20	88	0	0.5	101324.965	101324.999	101324.963	101325.307	0.308426602	0	0	8.78349	0	0	3
21	92	0	0.525	101324.968	101324.982	101324.963	101325.028	0.0645959935	0	0	8.64466	0	0	3
22	97	0	0.55	101324.971	101324.982	101324.963	101325.028	0.0645959935	0	0	8.62212	0	0	3
23	100	0	0.575	101324.974	101324.979	101324.963	101325.014	0.051473096	0	0	8.57659	0	0	3
24	104	0	0.6	101324.978	101324.977	101324.963	101325.01	0.0469494207	0	0	8.60803	0	0	3
25	109	0	0.625	101324.984	101324.976	101324.963	101325.001	0.0376635063	0	0	8.51911	0	0	3
26	113	0	0.65	101324.989	101324.976	101324.963	101325.001	0.0376635063	0	0	8.5479	0	0	3
27	117	0	0.675	101324.998	101324.976	101324.963	101324.998	0.0351241169	0	0	8.47897	0	0	3
28	122	0	0.7	101325.008	101324.976	101324.963	101325.008	0.044796414	0	0	8.50791	0	0	3
29	125	0	0.725	101325.018	101324.978	101324.963	101325.018	0.0545380155	0	0	8.45189	0	0	3
30	129	0	0.75	101325.03	101324.98	101324.963	101325.03	0.0503275969	0	0	8.47469	0	0	3
31	133	0	0.775	101325.04	101324.983	101324.963	101325.04	0.0460226808	0	0	8.42822	0	0	3
32	137	0	0.8	101325.052	101324.987	101324.963	101325.052	0.0422117738	0	0	8.43154	0	0	3
33	141	0	0.825	101325.064	101324.991	101324.963	101325.064	0.0385179439	0	0	8.39142	0	0	3
34	145	0	0.85	101325.076	101324.997	101324.963	101325.076	0.0352116574	0	0	8.39168	0	0	3
35	149	0	0.875	101325.085	101325.003	101324.963	101325.085	0.032246203	0	0	8.35499	0	0	3
36	153	0	0.9	101325.091	101325.009	101324.963	101325.091	0.0335877521	0	0	8.34397	0	0	3
37	156	0	0.925	101325.095	101325.016	101324.963	101325.095	0.0401312074	0	0	8.32533	0	0	3
38	160	0	0.95	101325.096	101325.022	101324.965	101325.096	0.046791427	0	0	8.34363	0	0	3
39	164	0	0.975	101325.097	101325.029	101324.965	101325.097	0.053359115	0	0	8.30981	0	0	3
40	168	0	1	101325.096	101325.035	101324.968	101325.097	0.0599140578	0.0200474144	33.4	8.33296	0	0	3
41	172	0	1.025	101325.095	101325.042	101324.971	101325.097	0.0662866453	0.0200474144	30.2	8.30835	0	0	3
42	176	0	1.05	101325.094	101325.048	101324.974	101325.097	0.072471365	0.0200474144	27.6	8.32639	0	0	3
43	180	0	1.075	101325.094	101325.054	101324.978	101325.097	0.0784455362	0.0200474144	25.5	8.3223	0	0	3
44	184	0	1.1	101325.094	101325.056	101324.978	101325.097	0.0803393785	0.0200474144	24.9	8.29651	0	0	3
45	187	0	1.125	101325.094	101325.061	101324.984	101325.097	0.0858541992	0.0200474144	23.3	8.31856	0	0	3
46	192	0	1.15	101325.095	101325.067	101324.989	101325.097	0.0911400647	0.0200474144	21.9	8.30762	0	0	3
47	196	0	1.175	101325.095	101325.072	101324.998	101325.097	0.0961920094	0.0200474144	20.8	8.31981	0	0	3
48	200	0	1.2	101325.096	101325.076	101325.008	101325.097	0.0888530151	0.0200474144	22.5	8.32247	0	0	3
49	204	0	1.225	101325.097	101325.081	101325.018	101325.097	0.0786709546	0.0200499258	25.4	8.28775	0	0	3
50	207	0	1.25	101325.097	101325.084	101325.03	101325.097	0.0674611213	0.0200581166	29.7	8.31819	0	0	3
51	211	0	1.275	101325.098	101325.088	101325.04	101325.098	0.0576897807	0.0200693328	34.7	8.30125	0	0	3
52	215	0	1.3	101325.098	101325.09	101325.052	101325.098	0.0461328379	0.0200812546	43.5	8.32246	0	0	3
53	219	0	1.325	101325.098	101325.093	101325.064	101325.098	0.034108886	0.020094308	58.9	8.30787	0	0	3
54	223	0	1.35	101325.098	101325.094	101325.076	101325.098	0.0225409204	0.0201062645	89.1	8.33249	0	0	3
