Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.025	293.200053	293.200053	293.200053	293.200053	0	0	0	0.00790427	0	0	3
2	15	0	0.05	293.20006	293.200056	293.200053	293.20006	3.22551472e-006	0	0	0.00671934	0	0	3
3	18	0	0.075	293.200065	293.200059	293.200053	293.200065	6.02059441e-006	0	0	0.00594849	0	0	3
4	22	0	0.1	293.200068	293.200061	293.200053	293.200068	8.25997921e-006	0	0	0.00584354	0	0	3
5	26	0	0.125	293.200072	293.200064	293.200053	293.200072	1.03297937e-005	0	0	0.00573493	0	0	3
6	29	0	0.15	293.200078	293.200066	293.200053	293.200078	1.26817893e-005	0	0	0.00584117	0	0	3
7	33	0	0.175	293.200084	293.200069	293.200053	293.200084	1.5316232e-005	0	0	0.00550031	0	0	3
8	37	0	0.2	293.20009	293.200071	293.200053	293.20009	1.80512641e-005	0	0	0.00573465	0	0	3
9	41	0	0.225	293.200096	293.200074	293.200053	293.200096	2.08494448e-005	0	0	0.00549237	0	0	3
10	45	0	0.25	293.200102	293.200077	293.200053	293.200102	2.36144921e-005	0	0	0.00558106	0	0	3
11	50	0	0.275	293.20011	293.20008	293.200053	293.20011	2.66480415e-005	0	0	0.00569968	0	0	3
12	54	0	0.3	293.200118	293.200083	293.200053	293.200118	2.9802238e-005	0	0	0.00573498	0	0	3
13	58	0	0.325	293.200125	293.200086	293.200053	293.200125	3.30508207e-005	0	0	0.00583002	0	0	3
14	61	0	0.35	293.200132	293.20009	293.200053	293.200132	3.63408249e-005	0	0	0.00585846	0	0	3
15	67	0	0.375	293.200139	293.200093	293.200053	293.200139	3.96495845e-005	0	0	0.00587632	0	0	3
16	71	0	0.4	293.200148	293.200096	293.200053	293.200148	4.31259469e-005	0	0	0.00584625	0	0	3
17	76	0	0.425	293.200157	293.2001	293.200053	293.200157	4.67132064e-005	0	0	0.00583063	0	0	3
18	80	0	0.45	293.200165	293.200104	293.200053	293.200165	5.0342677e-005	0	0	0.00580921	0	0	3
19	84	0	0.475	293.200172	293.200107	293.200053	293.200172	5.39357838e-005	0	0	0.00578478	0	0	3
20	88	0	0.5	293.200178	293.200111	293.200053	293.200178	5.74652727e-005	0	0	0.00575606	0	0	3
